video_id,summary,category,keywords,color_composition,creator_demographics,sentiment,tone,political_leaning,creator_demographic
7307346522234998049,"A woman discusses her enjoyment of watching 'The Kardashians', expressing admiration for the show's iconic status. She speaks casually and confidently, with a focus on personal preference rather than political or news-related content.",Entertainment & Shows,"Kardashians, watch, why, love, iconic",Naturalistic,Unknown,Positive,Enthusiastic,Neutral,
7396760829498002720,"A woman discusses her passion for collecting books she has read, despite being questioned why she doesn't just lend or sell them. She explains that she keeps them as trophies of completion and enjoys having them displayed in her bookshelf. The video focuses on her personal hobby and preferences.",People & Blogs,"books, reading, bookshelf, collection, hobby, personal preference",Colorful,Unknown,Positive,Enthusiastic,Neutral,
7362216509206236449,"The video showcases a person shopping for various household items, including cleaning products, food, and personal care items. The person expresses excitement about finding a specific product and mentions having a headache and sore shoulders. They also share their phone number for contact. The video ends with a request for viewers to like the video.",Daily Life,"shopping, household items, cleaning products, headache, shoulders, personal care, phone number, like",Colorful,Unknown,Positive,Cheerful,Neutral,
7297944147648924961,"The video demonstrates how to make slow cooker French onion soup. It shows the preparation of the soup, including adding onions, seasoning, beef stock, and grilling bread with cheese on top. The speaker explains the process while showing each step visually. The final product is a delicious soup served with cheesy bread.",Food,"slow cooker, French onion soup, onions, beef stock, bread, cheese, grilling, cooking, recipe",Colorful,Unknown,Positive,Enthusiastic,Neutral,
7400109280008867114,"The video features a person urging Democrats to check their voter registration status, emphasizing the importance of ensuring their votes count. The speaker wears a 'Hotties for Harris' t-shirt and speaks directly to the camera, using hand gestures to emphasize points. The setting appears to be a home environment with natural lighting. The tone is serious and urgent, highlighting the significance of voter registration in upcoming elections.",Politics,"Democrats, voter registration, check, status, Harris, election, vote, registration, urgency",Naturalistic,Unknown,Neutral,Serious,Left,
7331415226442730757,"A group of performers dance energetically on stage, rapping and singing in Korean. The performance includes synchronized choreography, dynamic lighting, and vibrant costumes. The audience appears engaged, with some members cheering and clapping. The performers showcase various styles, including hip-hop and street dance moves. The atmosphere is lively and energetic, with a focus on entertainment and showmanship.","Music, Singing, & Dancing","dance, rap, performance, stage, audience, energy, synchronization, Korean, entertainment",Colorful,,Positive,Enthusiastic,Neutral,Unknown
7323547689201765664,"The video features a man discussing his dream Italian car collection, including a Ferrari Pro Sangue, Ferrari Roma, Lamborghini Centenario, Ferrari LaFerrari, and a classic Ferrari 250 GTO. He mentions he does not own these cars but wishes he did. The video includes images of various Italian cars and the man's garage with sports cars. The speaker expresses enthusiasm and passion for Italian automobiles.",Autos & Vehicles,"Italian cars, Ferrari, Lamborghini, Pro Sangue, Roma, Centenario, LaFerrari, 250 GTO, luxury cars, sports cars, garage, collection",Colorful,Unknown,Positive,Enthusiastic,Neutral,
7348220196772990254,"The video provides a firsthand account of internet censorship in China, highlighting the difficulties in accessing various websites and media platforms due to the Great Firewall. The narrator discusses the lack of access to Google, social media, and news sources, as well as the prevalence of state-run media. They mention the effectiveness of VPNs in bypassing these restrictions, but note that most VPNs do not work in China. Despite these limitations, the narrator observes a modern and clean subway system, well-stocked supermarkets, and people enjoying their day. The video raises questions about the extent of control exerted by the Chinese government over its citizens.",Politics,"China, internet censorship, Great Firewall, VPN, state-run media, surveillance, government control, modern infrastructure, public spaces, people's daily life",Colorful,Unknown,Negative,Intense,Left,
7357877605581802795,"The video depicts a virtual game scenario where players interact in a city environment. Characters engage in various activities, including searching for victims, equipping flashlights, and exploring different areas. The narrative involves a character named 'Brookhaven' who is involved in a plot to traumatize kids. The gameplay includes nighttime scenes with characters moving through streets and buildings, with text prompts guiding the player's actions. The overall tone is suspenseful and mysterious.",Gaming,"Brookhaven, trauma, kids, flashlight, victim, search, nighttime, virtual game, exploration",Dark,Unknown,Negative,Intense,Neutral,
7341059462687509803,"The video discusses the alleged sedation and imprisonment of Kate Middleton in a tower, with Camilla Parker held responsible. It references various media reports and theories suggesting a conspiracy involving the two women. The video includes images of Kate Middleton and Camilla Parker in different settings, along with headlines from news outlets. The tone is serious and investigative, with a focus on the political implications of the situation.",News,"Kate Middleton, Camilla Parker, sedated, locked, tower, conspiracy, media reports, political implications",Colorful,Unknown,Negative,Intense,Neutral,
7388973620116180257,"The video features Jordan Bardella delivering a speech at a podium, addressing the audience with a message of unity and victory. He discusses the political situation in France, mentioning the National Rally party's significant achievement and criticizes the alliance between Emmanuel Macron and Gabriel Attal with the far-left. Bardella expresses his commitment to leading the country forward with the support of the people. The scene includes a crowd of people taking photos and clips, indicating a public event. The date 'VINCENNES, 7 JUILLET 2024' is displayed on the podium.",Politics,"Jordan Bardella, National Rally, France, election, victory, speech, politics, alliance, Emmanuel Macron, Gabriel Attal, far-left, European elections, first round, political leaning, crowd, podium, Vincennes, July 7, 2024",Colorful,Unknown,Positive,Enthusiastic,Right,
7343145915886193926,"A street interviewer engages with a woman about her outfit, asking where she purchased it and how much it costs. The woman shares her fashion choices and travel experiences. The interviewer asks if she would consider settling down in Lviv, to which she responds that her job does not allow it. The scene takes place at night on a cobblestone street with a lively background.",People & Blogs,"interview, street, fashion, outfit, Lviv, Ukraine, Zara, Adidas, 3000, 1000, 1800, 5000, Nikola Karva, Kostyukha, online work",Colorful,,Neutral,Casual,Neutral,Unknown
7347525697591725355,"The video discusses how Zionism is marketed to non-Israeli Jewish people, highlighting the narrative that Israel is the only safe place for Jews and the pressure to visit Israel. It critiques the lack of information about the Palestinian perspective and the portrayal of Palestinians as terrorists. The speaker shares their personal experience of feeling isolated for questioning Zionism and facing backlash within the Jewish community.",Politics,"Zionism, Israel, Jewish, Palestine, anti-Semitism, propaganda, safety, conflict, identity, community, criticism",Colorful,Unknown,Negative,Intense,Left,
7376404436505136416,"The video depicts a humorous scene where a traffic warden, dressed in a distinctive uniform with a hat and badge, confronts a driver who has parked illegally. The warden, known as 'Little Ms Jocelyn Warden,' is portrayed as being humorously overzealous in enforcing parking regulations. She uses exaggerated language and threats to emphasize her authority, claiming to be personally chosen by the Queen to bring justice to the roads. The driver tries to reason with her, but she remains unyielding. The setting is an urban street with buildings and vehicles in the background.",Comedy,"traffic warden, Little Ms Jocelyn Warden, parking, Queen, humor, authority, enforcement, urban, street, buildings, vehicles",Colorful,,Positive,Cheerful,Neutral,Unknown
7395616033127648554,"A woman in black scrubs shares her experience with berberine capsules, which she believes have helped her lose weight and reduce belly fat. She mentions that her swollen face was due to high cortisol levels. The video includes a mirror selfie showing her reflection.",Fitness & Health,"berberine, capsule, weight loss, belly fat, cortisol, scrubs, mirror selfie",Naturalistic,Unknown,Positive,Cheerful,Neutral,
7278695690522348843,"The video discusses the criticism faced by MrBeast for flying economy class despite his wealth. It emphasizes that MrBeast reinvests his earnings into creating more content for his audience. The speaker defends MrBeast, stating that he is not 'insanely rich' and uses his earnings to fund his YouTube videos. The video includes a search result showing MrBeast's net worth and mentions his profit from the previous year. The speaker expresses gratitude towards MrBeast for his content and challenges those who criticize him.",People & Blogs,"MrBeast, economy, wealth, YouTube, net worth, content creation, criticism, gratitude",Colorful,Unknown,Positive,Enthusiastic,Center,
7368596585594359083,"The video discusses the recent decision by German courts to designate the far-right Alternative for Germany (AfD) party as a potential extremist threat, allowing intelligence officers to monitor their activities. It highlights the party's rise in popularity and its controversial stance on immigration and politics. The video includes footage of protests, news headlines, and commentary from a news anchor.",News,"Germany, AfD, extremist, intelligence, surveillance, election, politics, protest, news anchor, headline, political party, far-right, immigration, court decision",Colorful,Unknown,Neutral,Intense,Center,
7395305751469772075,A woman sitting in a car is responding to a comment asking her to choose between Trump and Harris. She humorously states she is putting her vote up for sale on Instagram. The video is a personal reaction to a political question.,People & Blogs,"Trump, Harris, vote, sale, Instagram, comment",Naturalistic,Unknown,Neutral,Sarcastic,Neutral,
7289539647825382698,"A person is dancing in a kitchen while wearing a peach-colored top and denim shorts. Text overlay states 'Me, with 0% Palestinian blood, standing 10 toes down with the people of Palestine.' The person appears to be showing support for the Palestinian cause through their dance. The setting is a domestic kitchen with various items visible in the background.",Politics,"Palestine, support, dance, kitchen, solidarity",Colorful,Unknown,Positive,Enthusiastic,Left,
7340748820130647326,"The video discusses California's new $20 minimum wage law for fast food restaurants, highlighting an exemption for fast food chains with bakeries, which applies to Panera Bread. It mentions Glenn Flynn, a donor to Gavin Newsom, who owns Panera Bread locations and opposes the minimum wage increase. The conversation includes a humorous exchange about the exemption and a reference to a Panera Bread sandwich.",Politics,"California, $20 minimum wage, fast food, Panera Bread, Gavin Newsom, Glenn Flynn, exemption, bakery, interview",Colorful,Unknown,Neutral,Sarcastic,Center,
7383460841204534534,"The video showcases a woodworking process, starting with a piece of wood being cut with pliers, followed by filing and grinding to create a chisel-like tool. The final product is used to carve a small hole in another piece of wood. The creator expresses excitement about making a cup of coffee.",DIY & Howto,"woodworking, chisel, cutting, filing, grinding, coffee",Naturalistic,Unknown,Positive,Enthusiastic,Neutral,
7408631372044111135,The video shows a person caring for sick kittens who have lost their medications due to a power outage. The narrator explains that they need help replacing the lost medications and asks viewers to share the video or make donations. The kittens appear weak and in need of care.,Nonprofits & Activism,"kittens, power outage, medications, donations, help, rescue, medical care",Naturalistic,Unknown,Negative,Sadness,Neutral,
7324688586807201070,"A young woman with long brown hair, wearing a white coat and scarf, is sitting in an office-like room with posters on the wall and a window in the background. She appears to be a special education teacher trying to figure out what her student is scripting. The scene includes a humorous audio clip of a conversation about a dream involving condiments.",Education,"Special Ed, teacher, student, scripting, dream, ketchup, mustard, mayonnaise",Colorful,Unknown,Neutral,Humorous,Neutral,
7360854136440540459,"The video depicts a tense interaction between two men, one in a black leather jacket and the other in a dark shirt with red patterns, discussing someone named Huel. They seem to be trying to ensure Huel's happiness, suggesting a power dynamic. The man in the leather jacket appears to be in charge, while the other seems to be his subordinate. The conversation includes threats and demands, indicating a serious and possibly criminal undertone. The setting is indoors, with a doorway visible in the background.",Drama,"Huel, happy, unhappy, checkbook, threatening, demanding, indoor, doorway",Desaturated,Unknown,Negative,Intense,Neutral,
7195058735914519809,"The video shows controlled demolition of tall buildings using explosives. The buildings collapse in a controlled manner, creating large clouds of dust. The scene includes construction equipment and workers observing the demolition. The video captures the dramatic moment of the buildings falling and the resulting dust cloud.",News,"demolition, building, explosion, dust, construction, controlled, collapse",Colorful,Unknown,Neutral,Intense,Neutral,
7361435694725696810,"The video features a live performance by a female artist addressing her audience, emphasizing inclusivity and welcoming everyone regardless of their beliefs. She mentions her live set being nominated for an award and encourages audience participation. The setting appears to be a concert venue with a dark ambiance, and the performer interacts warmly with the crowd.","Music, Singing, & Dancing","live set, nomination, HMAs, sorority, inclusivity, audience, welcome, safety, VIP, $20, spread the word, online, induction, show, politics, thank you",Dark,Unknown,Positive,Cheerful,Center,
7390820226562084139,"A group of anthropomorphic animal characters, including a bear family, discover their swimming pool is closed due to theft. They express frustration and disappointment at having to wait until Monday to retrieve their belongings left in the pool area.",Comedy,"summer, swimming pool, theft, disappointment, waiting, anthropomorphic animals, bear family",Colorful,Unknown,Negative,Sadness,Neutral,
7317028968568343850,"A man wearing headphones is reacting to a video tutorial about how to talk to girls. The tutorial suggests that if you want to get better at talking to girls, you should not focus on wanting to sleep with them. The speaker explains that having that thought in the back of your mind makes it harder to be relaxed and less nervous. He advises taking a genuine approach and being yourself. The video includes various DIY projects and tools being shown.",Relationship,"talking to girls, relationship advice, DIY, tools, genuine approach, not wanting to sleep with someone",Colorful,,Neutral,Neutral,Neutral,Unknown
7303250453079280927,"The video promotes a travel deal for a round-trip airline pass to Tahiti, Paris, Auckland, and Tokyo for $1,525 per person. It highlights the limited availability of 250 passes and the requirement to fly out of LAX or Seattle. The pass goes on sale on November 25th at 9 a.m. Pacific time.",Travel & Events,"airline pass, Tahiti, Paris, Auckland, Tokyo, $1525, LAX, Seattle, November 25th, 9am PST, 250 passes, Air Tahiti Nui",Colorful,Unknown,Positive,Enthusiastic,Neutral,
7373916497896377617,"The video showcases the step-by-step process of making a no-bake cheesecake using Biscoff cookies, cream cheese, and dulce de leche. It begins with crushing Biscoff cookies and mixing them with melted butter, then preparing a cream cheese mixture with whipped cream and dulce de leche. The crust is formed in a springform pan, followed by layering the cream cheese mixture and topping it with dulce de leche. The final product is a smooth, creamy cheesecake with a Biscoff cookie crust.",Food,"no-bake cheesecake, Biscoff, cream cheese, dulce de leche, dessert, recipe, baking",Colorful,Unknown,Positive,Enthusiastic,Neutral,
7390133152670420266,A person with long black hair and a nose piercing is wearing a black off-shoulder top with a graphic design. They have a red dot on their forehead and are standing in a room with various objects in the background. The audio includes a voice-over discussing making sense of things.,People & Blogs,"black hair, nose piercing, red dot, forehead, graphic design, room, objects, voice-over",Dark,Unknown,Neutral,Neutral,Neutral,
7390878944012045598,"A person engages in a virtual fashion competition, creating outfits inspired by Vogue covers. They react to their designs and those of others, expressing excitement and humor. The video includes gameplay footage, outfit showcases, and commentary on fashion choices.",Entertainment & Shows,"fashion, Vogue, competition, gaming, virtual, reaction, humor, commentary",Colorful,Unknown,Positive,Cheerful,Neutral,
7386716685945900320,"The video captures a moment at Wimbledon where Sir David Attenborough receives a standing ovation from the crowd upon his arrival at the Centre Court. He is seen walking through the stands, acknowledging the applause, and taking his seat. The audience claps and cheers, showing their appreciation for him. The atmosphere is celebratory and respectful.",Sports,"Wimbledon, David Attenborough, standing ovation, Centre Court, applause, audience, tennis",Colorful,Unknown,Positive,Cheerful,Neutral,
7330776298576514347,"Two individuals play a game involving a dial labeled 'Easy to spell, hard to spell' and 'Historically important, historically unimportant'. They discuss various topics such as 'Onomatopoeia', 'Eyes', 'Invention of the telephone', and 'The Eagles'. The participants debate the importance of these topics, with some humorous exchanges.",Entertainment & Shows,"game, easy to spell, hard to spell, onomatopoeia, eyes, invention of the telephone, the eagles, debate, humor",Colorful,Unknown,Positive,Cheerful,Neutral,
7393735339996712225,"The video features a person standing in front of a doorway, wearing a striped shirt with blue and white colors. The text overlay in French reads 'QUAND ON A 1M DE VUES LE 'M' VIENT DE 'MILLION' MAIS QUAND ON A 1K DE VUES, LE 'K' VIEN DE QUEL MOT?', which translates to 'When you have 1 million views, the 'M' comes from 'illion', but when you have 1k views, the 'K' comes from what word?'. The person appears to be posing a question or making a statement about YouTube view counts. The background shows a simple indoor setting with a door and window. The video ends with the text 'Thank you for watching!'",People & Blogs,"views, YouTube, million, thousand, French, question",Naturalistic,Unknown,Neutral,Neutral,Neutral,
7289320054347468078,"The video features a man discussing political scenarios involving the potential election of a Speaker of the House, specifically mentioning Hakeem Jeffries and the possibility of Republicans making deals with Democrats. He speculates on the reactions of various right-wing media personalities like Steve Bannon, Ben Shapiro, and others if such a situation were to occur. The man uses humor and sarcasm to comment on the political situation.",Politics,"Hakeem Jeffries, Speaker of the House, Republicans, Democrats, Steve Bannon, Ben Shapiro, Candace Owens, political deal, political commentary, sarcastic humor",Naturalistic,Unknown,Neutral,Sarcastic,Right,
7302492057975688490,"The video features a person wearing a tie-dye tank top and glasses on their head, with animated watermelon slices and the text 'From the river to the sea.' The person appears to be promoting a filter created by someone in the Filter Creator Fund, which supports Palestine. The video encourages viewers to support the cause from the comfort of their homes.",Nonprofits & Activism,"river, sea, watermelon, filter, creator fund, palestine, support",Colorful,Unknown,Positive,Enthusiastic,Left,
7393839173922327841,"The video shows a map of the United States with a political election simulation. It starts with a 'Tossup' count at 538, representing electoral votes. As the video progresses, the 'Tossup' count decreases, and states are colored blue, indicating support for Joe Biden. The final result shows Joe Biden winning with 534 votes against Donald Trump's 4 votes. The video includes a comment overlay stating '2020 but only non religious people could vote'.",Politics,"Tossup, Joe Biden, Donald Trump, electoral votes, political election, simulation, non religious people, comment overlay",Colorful,Unknown,Neutral,Neutral,Left,
7378515655609355552,"The video showcases a young man who built a 32-bit computer within the game Terraria, demonstrating the creation of various electronic components and a complete CPU architecture. The video includes scenes of him explaining the process, showing the computer's functionality, and discussing the implementation of an instruction set. The creator emphasizes the complexity and ingenuity involved in the project, highlighting the achievement of creating a functional computer within a game. The video encourages viewers to visit the creator's YouTube channel for more details.",Gaming,"Terraria, computer, electronics, programming, instruction set, RISC-V, Fibonacci series, CPU, ALU, registers, control unit, memory, logic gates, AND gate, YouTube, From Scratch",Colorful,Unknown,Positive,Enthusiastic,Neutral,
7369576124948548897,"A person holds a prairie dog in a red cloth, which appears to be vocalizing loudly. The video includes text in Russian suggesting the prairie dog is trying to communicate with the person. The setting is outdoors with greenery in the background.",Pets & Animals,"prairie dog, person, Russian text, outdoor, greenery",Colorful,Unknown,Neutral,Sarcastic,Neutral,
7360733570232552710,"The video showcases a person holding a large clock shaped like Ukraine, featuring Roman numerals and names of Ukrainian cities. The clock is black with gold accents and wheat designs at the bottom. The person stands outdoors with greenery in the background. Text on the screen provides contact information for 'old house.ua' and a phone number. The video appears to be promoting a product related to Ukraine.",Entertainment & Shows,"Ukraine, clock, Roman numerals, cities, old house.ua, phone number",Colorful,Unknown,Neutral,Neutral,Neutral,
7346011922946510126,"The video features a person discussing R.F.K. Jr.'s candidacy for president and his potential running mate, Aaron Rodgers. The speaker criticizes R.F.K. Jr.'s lack of qualifications and political experience, as well as Rodgers' conspiracy theories and lack of governing experience. The video includes screenshots of news articles supporting the speaker's points. The speaker argues that R.F.K. Jr. is not a serious candidate and urges viewers to consider this when voting.",Politics,"R.F.K. Jr., Aaron Rodgers, election, political campaign, conspiracy theories, CNN, New York Times, political qualifications, political leaning",Naturalistic,Unknown,Negative,Intense,Left,
7288048371019926814,"A woman responds to a comment about her mother's behavior, suggesting she might be in a freezing room. She then shows a thermometer indicating a temperature of 80 degrees Fahrenheit, implying the comment is incorrect.",People & Blogs,"comment, mom, freezing, thermometer, 80 degrees",Naturalistic,Unknown,Neutral,Neutral,Neutral,
7319635608945675528,"A person performs a dance routine in front of an audience. The dancer wears a white long-sleeve shirt with a graphic design, striped pants, and red shoes. The audience watches attentively, some seated on the floor. The lighting is dim with purple hues. The dancer moves energetically, showcasing various dance moves. The video ends with a call to action for viewers to subscribe to the channel.",Entertainment & Shows,"dance, performance, audience, energetic, subscribe",Dark,Unknown,Positive,Enthusiastic,Neutral,
7357381570371603717,"The video begins with two women dancing and flirting in a room, with text overlay 'I want to flirt with finance bros.' It then cuts to a man pointing his finger, with text overlay 'or help them commit.' The audio mentions flirting with finance professionals and helping them commit large-scale securities fraud. The overall tone is sarcastic and humorous.",Comedy,"flirt, finance bros, securities fraud, sarcasm",Colorful,Unknown,Negative,Sarcastic,Neutral,
7346304747646848288,"The video shows two individuals shopping in a store with empty shelves, indicating a shortage of goods. One person is wearing a blue vest and the other a red hoodie. The text on the screen suggests they are discussing the situation humorously, mentioning that the store is out of stock and joking about the situation. The audio includes a song playing in the background.",Daily Life,"shopping, empty shelves, shortage, humor, joke, song",Colorful,Unknown,Neutral,Sarcastic,Neutral,
7317451980497046826,"The video discusses various morbid facts about the Church of Scientology, including the disappearance of the wife of its leader, multiple missing person reports, deaths of members, and controversial practices. It mentions notable individuals like John Travolta and Elron Hubbard, and includes images of Scientology buildings and individuals associated with the organization.",News,"Scientology, morbid facts, missing persons, deaths, cult, John Travolta, Elron Hubbard, black magic",Desaturated,Unknown,Negative,Intense,Neutral,
7210197949433892142,"The video showcases a beach club recommendation post on Instagram, featuring three different beach clubs in Capri, Italy. The text overlay provides descriptions of each club, highlighting their unique features and amenities. The scene includes images of people relaxing on the beach, sunbathing, and enjoying the seaside atmosphere.",Travel & Events,"beach club, Capri, Italy, travel, vacation, relaxation, Instagram, recommendation, beach, sea, sunbathing, tourism",Colorful,Unknown,Positive,Cheerful,Neutral,
7286953369133174062,"A man attempts to take off with a paraglider but struggles to gain altitude, eventually floating in midair. He pumps his paraglider to rise higher, creating a humorous effect. The scene takes place in a park with mountains in the background.",Comedy,"paraglider, attempt, takeoff, struggle, humor, park, mountains",Colorful,Unknown,Positive,Cheerful,Neutral,
